,Motifs,Autodock
hdac2,0.15052438642655652,0.20609661538606427
gria2,0.2751290606242825,1.1729815521058837
jak2,0.05983538023003203,0.31897757060507365
fa7,6.339024840225822,1.0354167928911804
rxra,0.43462800185906075,1.71022291650043
pa2ga,0.5526601577823389,1.1412068037501306
mk10,0.12138755084439264,0.4845874584429369
glcm,0.3879210155246988,2.8025052240589488
egfr,0.18650834736376742,0.7903060962953672
nram,0.241898243069272,0.5377938724012313
pparg,0.3811738236959194,0.4544007411611902
ppard,0.5587039385122421,1.0860872907856525
braf,1.5795682728427491,4.947752200408399
nos1,0.5637855384215993,6.094295621205688
pur2,0.22241793282490854,0.7633845878487387
kit,0.10968612243372167,0.6876419306220558
abl1,0.15607115972066024,0.25075232090573313
inha,0.4834798106154256,1.8978571502157597
mp2k1,0.3169271937746048,6.4229438925711895
kif11,0.5217041132847062,0.6790144540520239
prgr,0.2499772582248826,0.4975271239811927
grik1,0.3273437104358426,0.7890296600455758
aces,0.15679786806130788,0.4459584909670989
pgh2,0.274130162794695,0.5916325257685936
rock1,0.3029456313524854,6.564420557361599
mmp13,0.7846672406641101,1.0781432140741818
pnph,0.21721696647894645,0.6494138158196356
tgfr1,2.6898879081354554,0.4242581416705291
pyrd,0.12457988661155539,0.6226756570756009
lkha4,0.3766089541524816,3.048655271687317
def,0.6670775400539615,3.3198794528553313
kpcb,0.13713121343067658,1.695785496085554
parp1,0.2741393806077486,0.7697095442134557
casp3,1.9957190135267995,6.296503072284501
hdac8,2.416496085933792,4.509773391460983
met,0.16617689631704272,0.8459879319558207
pygm,0.34605232882573395,0.4654001253141492
bace1,0.268686088746169,4.40608895527808
reni,0.13092186556767707,0.5958077664914788
hivpr,0.21616823845577615,2.9405667566836025
cp2c9,0.41918644751205536,1.0900497971437921
fpps,0.6971763137829627,5.1077067108471335
ital,0.1892068080599009,0.8058096513789015
aldr,0.17182629560713,0.7679087988895424
dyr,0.3122799892190768,3.605903030395282
tryb1,0.2763476071906545,0.2138469010473551
thb,0.2036636758411842,0.9225136433047243
fnta,0.14945785748093274,6.868757034735731
mcr,0.2035813010908568,0.273840868573056
urok,0.2628362132583714,0.8111097448123021
andr,0.18835010460512597,0.49467468330090236
ppara,0.3042665796881935,0.7320624387368888
kith,0.14547953161062557,0.3974583081938436
hivrt,0.16068196011902652,0.45358123559945196
hs90a,0.1725879222572975,0.3991602881804353
akt1,0.11895797577295925,0.2954485358101885
fkb1a,0.5024629028595053,0.7169491242023035
sahh,0.10412239761074926,0.6867591107550681
hmdh,0.08236504112789685,0.6609927072481572
aa2ar,3.964934183985067,2.6055051842801373
dhi1,0.2796004403608839,0.43911779789762195
aofb,0.3539203905642397,0.8574765432346665
mapk2,0.5119820511401304,0.41292937202495117
plk1,0.33974613684337873,0.5581428908264224
cxcr4,0.5673485439924654,3.776391181798953
cah2,0.39426276136607175,0.5213719640623111
adrb2,7.460565940329192,1.712440449885141
ada,0.21145261486520672,2.20465853991215
thrb,0.14567325413299811,0.27070086254541653
csf1r,0.2785536624371374,1.4755357061627126
fgfr1,0.09989716935151059,0.2893641320107743
igf1r,0.11893653769973285,0.6393497393938532
esr1,0.24600092387114006,0.579911899195393
dpp4,0.7306255163634042,0.40558482816372915
fabp4,0.34658156006599355,0.6106810647604435
fa10,1.8602194007025084,0.4134999932768107
ada17,1.7885633620311023,1.8059295697747717
lck,0.2154167279174643,2.0122644521164212
adrb1,0.31714072285854145,0.6795392265046458
ampc,0.4762316754434258,7.061881908250787
esr2,0.3188477639120659,6.207814363358451
xiap,4.3510679801133385,1.6748598052999677
akt2,0.11883249256967804,0.215633603847996
comt,0.3975944631692665,5.702544928368519
ace,0.3308191077481496,0.9743129189968738
